frame cameraID r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0 0 1
0 0 -0.7109104 0.0721791 -0.699569 8.349663 0.05034573 0.9973904 0.05174536 112.342 0.7014784 0.001565998 -0.7126892 -0.9454051 0 0 0 1
0 1 -0.7109104 0.0721791 -0.699569 7.816938 0.05034573 0.9973904 0.05174536 112.342 0.7014784 0.001565998 -0.7126892 -0.9454051 0 0 0 1
1 0 -0.7106959 0.07307381 -0.6996941 9.028496 0.05215969 0.9973266 0.05117777 112.2902 0.7015632 -0.0001239982 -0.7126074 -2.156939 0 0 0 1
1 1 -0.7106959 0.07307381 -0.6996941 8.495771 0.05215969 0.9973266 0.05117777 112.2902 0.7015632 -0.0001239982 -0.7126074 -2.15694 0 0 0 1
2 0 -0.7110316 0.06971319 -0.6996958 9.18478 0.04791224 0.9975639 0.05070239 112.2903 0.7015259 0.002526997 -0.7126395 -2.78917 0 0 0 1
2 1 -0.7110316 0.06971319 -0.6996958 8.652056 0.04791224 0.9975639 0.05070239 112.2903 0.7015259 0.002526997 -0.7126395 -2.78917 0 0 0 1
3 0 -0.7111508 0.06922305 -0.6996235 9.660196 0.04465003 0.9975789 0.05331805 112.2749 0.7016205 0.006678952 -0.7125198 -3.253934 0 0 0 1
3 1 -0.7111508 0.06922305 -0.6996235 9.127472 0.04465003 0.9975789 0.05331805 112.2749 0.7016205 0.006678952 -0.7125198 -3.253934 0 0 0 1
4 0 -0.7110249 0.06872611 -0.6998003 10.18408 0.04277701 0.9975966 0.054509 112.2555 0.7018645 0.008821884 -0.7122558 -4.03889 0 0 0 1
4 1 -0.7110249 0.06872611 -0.6998003 9.651356 0.04277701 0.9975966 0.054509 112.2555 0.7018645 0.008821884 -0.7122558 -4.03889 0 0 0 1
5 0 -0.7108917 0.06907685 -0.6999012 10.74905 0.04256036 0.9975664 0.05522629 112.227 0.7020127 0.009471862 -0.7121016 -4.895506 0 0 0 1
5 1 -0.7108917 0.06907685 -0.6999012 10.21633 0.04256036 0.9975664 0.05522629 112.227 0.7020127 0.009471862 -0.7121016 -4.895506 0 0 0 1
6 0 -0.7106366 0.07004398 -0.7000641 11.43358 0.04380623 0.9975063 0.05533639 112.1809 0.7021944 0.008656891 -0.7119329 -6.00803 0 0 0 1
6 1 -0.7106366 0.07004398 -0.7000641 10.90086 0.04380623 0.9975063 0.05533639 112.1809 0.7021944 0.008656891 -0.7119329 -6.008031 0 0 0 1
7 0 -0.7104944 0.06970146 -0.7002424 11.9255 0.04434753 0.9975395 0.05429733 112.1479 0.7023041 0.007523928 -0.7118374 -7.06275 0 0 0 1
7 1 -0.7104944 0.06970146 -0.7002424 11.39278 0.04434753 0.9975395 0.05429733 112.1479 0.7023041 0.007523928 -0.7118374 -7.06275 0 0 0 1
8 0 -0.7104344 0.06916812 -0.7003562 12.40783 0.0444625 0.9975818 0.05342019 112.1179 0.7023575 0.006811948 -0.7117918 -8.070708 0 0 0 1
8 1 -0.7104344 0.06916812 -0.7003562 11.8751 0.0444625 0.9975818 0.05342019 112.1179 0.7023575 0.006811948 -0.7117918 -8.070708 0 0 0 1
9 0 -0.7103181 0.0680699 -0.7005818 12.88133 0.04391024 0.9976596 0.05241409 112.0946 0.70251 0.006467957 -0.7116445 -9.129396 0 0 0 1
9 1 -0.7103181 0.0680699 -0.7005818 12.3486 0.04391024 0.9976596 0.05241409 112.0946 0.70251 0.006467957 -0.7116445 -9.129396 0 0 0 1
10 0 -0.7102925 0.06742696 -0.7006699 13.33914 0.04278585 0.9976967 0.05263704 112.0825 0.7026052 0.007408932 -0.7115414 -9.953447 0 0 0 1
10 1 -0.7102925 0.06742696 -0.7006699 12.80641 0.04278585 0.9976967 0.05263704 112.0825 0.7026052 0.007408932 -0.7115414 -9.953448 0 0 0 1
11 0 -0.7103376 0.06772285 -0.7005956 13.88363 0.04244879 0.9976705 0.05340045 112.0594 0.70258 0.008192908 -0.7115577 -10.80812 0 0 0 1
11 1 -0.7103376 0.06772285 -0.7005956 13.35091 0.04244879 0.9976705 0.05340045 112.0593 0.70258 0.008192908 -0.7115577 -10.80812 0 0 0 1
12 0 -0.7103857 0.06599703 -0.7007115 14.25497 0.04156395 0.9977901 0.05183982 112.0484 0.7025843 0.007701926 -0.7115589 -11.884 0 0 0 1
12 1 -0.7103857 0.06599703 -0.7007115 13.72224 0.04156395 0.9977901 0.05183982 112.0484 0.7025843 0.007701926 -0.7115589 -11.884 0 0 0 1
13 0 -0.710386 0.06695717 -0.70062 14.87049 0.04265896 0.9977304 0.05209795 112.0002 0.7025182 0.007121941 -0.7116301 -12.87895 0 0 0 1
13 1 -0.710386 0.06695717 -0.70062 14.33776 0.04265896 0.9977304 0.05209795 112.0002 0.7025182 0.007121941 -0.7116301 -12.87895 0 0 0 1
14 0 -0.7103183 0.0666533 -0.7007177 15.34538 0.04168174 0.9977425 0.05265392 111.9921 0.7026454 0.00819391 -0.7114931 -13.68247 0 0 0 1
14 1 -0.7103183 0.0666533 -0.7007177 14.81266 0.04168174 0.9977425 0.05265392 111.9921 0.7026454 0.00819391 -0.7114931 -13.68247 0 0 0 1
15 0 -0.7102873 0.06642501 -0.7007709 15.87839 0.04054781 0.9977455 0.05347636 111.9869 0.7027432 0.009568853 -0.7113794 -14.53916 0 0 0 1
15 1 -0.7102873 0.06642501 -0.7007709 15.34567 0.04054781 0.9977455 0.05347636 111.9869 0.7027432 0.009568853 -0.7113794 -14.53916 0 0 0 1
