frame cameraID trackID left right top bottom number_pixels truncation_ratio occupancy_ratio isMoving
0 0 0 774 1241 169 374 75554 0.07558984 0.7891994 False
0 0 1 722 866 186 281 5433 0 0.3971491 False
0 0 2 696 771 185 246 2109 0 0.4609836 False
0 0 3 394 474 201 256 2534 0 0.5759091 False
0 0 4 509 542 195 220 459 0 0.5563636 False
0 0 5 651 682 184 208 357 0 0.4798387 False
0 0 6 522 552 195 216 219 0 0.3476191 False
0 0 7 539 566 189 212 293 0 0.4718196 False
0 0 9 547 570 190 209 71 0 0.1624714 False
0 0 10 559 579 191 206 80 0 0.2666667 False
0 0 11 642 657 184 196 115 0 0.6388889 False
0 0 13 676 713 180 194 196 0 0.3783784 False
0 0 14 677 710 177 194 43 0 0.07664884 False
0 0 16 581 594 188 200 60 0 0.3846154 False
0 0 17 576 591 190 202 103 0 0.5722222 False
0 0 18 674 705 180 193 9 0 0.02233251 False
0 0 19 585 597 188 199 22 0 0.1666667 False
0 0 20 588 599 189 198 13 0 0.1313131 False
0 0 21 589 599 188 197 5 0 0.05555556 False
0 0 22 590 601 188 197 15 0 0.1515152 False
0 0 23 669 692 181 191 25 0 0.1086956 False
0 0 24 671 687 180 191 2 0 0.01136364 False
0 0 25 667 686 181 191 5 0 0.02631579 False
0 0 26 765 797 172 186 22 0 0.04910714 False
0 0 27 761 792 174 186 1 0 0.002688172 False
0 0 32 663 683 182 191 8 0 0.04444445 False
0 0 33 593 603 188 196 11 0 0.1375 False
0 0 34 641 651 184 193 16 0 0.1777778 False
0 0 35 640 650 184 193 12 0 0.1333333 False
0 0 36 595 604 188 196 6 0 0.08333334 False
0 0 37 639 649 184 192 1 0 0.0125 False
0 0 38 596 606 187 195 16 0 0.2 False
0 0 39 637 648 185 192 12 0 0.1558442 False
0 0 40 598 606 187 194 2 1 0.03571429 False
0 0 41 636 645 184 192 8 1 0.1111111 False
0 0 42 636 645 184 191 2 1 0.03174603 False
0 0 43 600 607 187 194 1 1 0.02040816 False
0 0 89 770 808 169 186 295 0 0.4566563 False
0 0 90 576 594 186 195 6 1 0.03703704 False
0 0 97 352 394 204 228 79 0 0.07837301 False
0 1 0 730 1207 167 374 71011 0.03842348 0.7191789 False
0 1 1 696 832 186 281 3814 0 0.2952012 False
0 1 2 677 749 185 246 1759 0 0.4005009 False
0 1 3 377 459 201 256 2588 0 0.5738359 False
0 1 4 500 534 195 220 465 0 0.5470588 False
0 1 5 643 674 184 208 348 0 0.4677419 False
0 1 6 514 545 195 216 235 0 0.3609831 False
0 1 7 532 559 189 212 309 0 0.4975846 False
0 1 9 541 565 190 209 82 0 0.1798246 False
0 1 10 554 574 191 206 87 0 0.29 False
0 1 11 639 653 184 196 87 0 0.5178571 False
0 1 13 672 709 180 194 133 0 0.2567568 False
0 1 14 673 706 177 194 38 0 0.06773619 False
0 1 16 577 591 188 200 66 0 0.3928571 False
0 1 17 572 587 190 202 105 0 0.5833333 False
0 1 18 670 701 180 193 14 0 0.03473945 False
0 1 19 581 594 188 199 20 0 0.1398601 False
0 1 20 584 596 189 198 15 0 0.1388889 False
0 1 21 586 596 188 197 7 0 0.07777778 False
0 1 22 587 598 188 197 16 0 0.1616162 False
0 1 23 666 689 181 191 33 0 0.1434783 False
0 1 24 668 684 180 191 2 0 0.01136364 False
0 1 25 664 683 181 191 11 0 0.05789474 False
0 1 26 762 793 172 186 32 0 0.07373272 False
0 1 27 757 789 174 186 34 0 0.08854166 False
0 1 28 742 768 175 186 1 0 0.003496503 False
0 1 32 660 680 182 191 2 0 0.01111111 False
0 1 33 590 600 188 196 14 0 0.175 False
0 1 34 638 648 184 193 7 0 0.07777778 False
0 1 35 637 647 184 193 8 0 0.08888889 False
0 1 36 592 601 188 196 7 0 0.09722222 False
0 1 37 636 646 184 192 4 0 0.05 False
0 1 38 593 603 187 195 17 0 0.2125 False
0 1 39 635 645 185 192 11 0 0.1571429 False
