frame cameraID trackID left right top bottom number_pixels truncation_ratio occupancy_ratio isMoving
0 0 1 358 374 189 199 132 0 0.825 False
0 0 16 362 374 188 195 5 0 0.05952381 False
0 0 17 345 358 188 195 60 0 0.6593407 False
0 0 18 371 382 188 194 18 0 0.2727273 False
0 0 19 354 366 189 195 13 0 0.1805556 False
0 1 1 354 370 189 199 128 0 0.8 False
0 1 16 360 372 188 195 11 0 0.1309524 False
0 1 17 343 356 188 195 54 0 0.5934066 False
0 1 18 369 379 188 194 16 0 0.2666667 False
0 1 19 352 364 189 195 8 0 0.1111111 False
1 0 1 356 372 189 200 119 0 0.6761364 False
1 0 16 360 372 189 196 4 0 0.04761905 False
1 0 17 343 356 189 196 61 0 0.6703297 False
1 0 18 369 379 188 195 28 0 0.4 False
1 0 19 352 364 189 196 18 0 0.2142857 False
1 1 1 352 368 189 200 121 0 0.6875 False
1 1 16 357 369 189 196 10 0 0.1190476 False
1 1 17 340 353 189 196 63 0 0.6923077 False
1 1 18 367 377 188 195 19 0 0.2714286 False
1 1 19 349 361 189 196 13 0 0.1547619 False
2 0 1 354 370 191 201 133 0 0.83125 False
2 0 16 357 369 190 197 6 0 0.07142857 False
2 0 17 340 353 190 197 59 0 0.6483517 False
2 0 18 367 377 189 196 32 0 0.4571429 False
2 0 19 349 361 190 197 22 0 0.2619048 False
2 1 1 350 367 191 201 135 0 0.7941176 False
2 1 16 355 367 190 197 9 0 0.1071429 False
2 1 17 337 351 190 197 57 0 0.5816327 False
2 1 18 364 375 189 196 21 0 0.2727273 False
2 1 19 347 359 190 197 17 0 0.202381 False
3 0 1 352 368 192 203 132 0 0.75 False
3 0 17 337 351 191 199 61 0 0.5446429 False
3 0 18 364 375 191 198 38 0 0.4935065 False
3 0 19 347 359 192 198 25 0 0.3472222 False
3 1 1 348 365 192 203 131 0 0.7005348 False
3 1 16 352 365 191 198 3 0 0.03296703 False
3 1 17 335 348 191 199 60 0 0.5769231 False
3 1 18 362 372 191 198 28 0 0.4 False
3 1 19 344 356 192 198 16 0 0.2222222 False
4 0 1 350 367 192 203 129 0 0.6898396 False
4 0 17 335 348 192 199 66 0 0.7252747 False
4 0 18 362 372 191 198 40 0 0.5714286 False
4 0 19 344 356 192 198 27 0 0.375 False
4 1 1 346 363 192 203 132 0 0.7058824 False
4 1 16 350 362 191 198 4 0 0.04761905 False
4 1 17 332 346 192 199 67 0 0.6836734 False
4 1 18 359 370 191 198 33 0 0.4285714 False
4 1 19 341 354 192 198 19 0 0.2435897 False
5 0 1 348 365 191 202 139 0 0.7433155 False
5 0 17 332 346 190 198 66 0 0.5892857 False
5 0 18 359 370 190 197 35 0 0.4545455 False
5 0 19 341 354 191 197 31 0 0.3974359 False
5 1 1 344 361 191 202 137 0 0.7326203 False
5 1 16 348 360 190 197 2 0 0.02380952 False
5 1 17 330 343 190 198 63 0 0.6057692 False
5 1 18 357 368 190 197 35 0 0.4545455 False
5 1 19 339 351 191 197 21 0 0.2916667 False
6 0 1 346 363 189 200 139 0 0.7433155 False
6 0 17 329 343 189 196 67 0 0.6836734 False
6 0 18 357 367 188 195 37 0 0.5285714 False
6 0 19 338 351 189 195 34 0 0.4358974 False
6 1 1 342 359 189 200 146 0 0.7807487 False
6 1 17 327 340 189 196 65 0 0.7142857 False
6 1 18 354 365 188 195 43 0 0.5584416 False
6 1 19 336 348 189 195 27 0 0.375 False
7 0 1 344 361 188 199 146 0 0.7807487 False
7 0 16 345 357 187 194 1 0 0.01190476 False
7 0 17 326 340 187 195 66 0 0.5892857 False
7 0 18 354 365 187 194 33 0 0.4285714 False
7 0 19 336 348 188 194 34 0 0.4722222 False
7 1 1 340 357 188 199 146 0 0.7807487 False
7 1 17 324 338 187 195 68 0 0.6071429 False
7 1 18 352 362 187 194 39 0 0.5571429 False
7 1 19 333 346 188 194 28 0 0.3589744 False
8 0 1 342 359 188 200 150 0 0.7352941 False
8 0 17 324 338 188 195 66 0 0.6734694 False
8 0 18 352 363 187 194 30 0 0.3896104 False
8 0 19 334 346 188 195 43 0 0.5119048 False
8 1 1 338 355 188 200 150 0 0.7352941 False
8 1 17 321 335 188 195 71 0 0.7244898 False
8 1 18 350 360 187 194 37 0 0.5285714 False
8 1 19 331 344 188 195 34 0 0.3736264 False
9 0 1 341 358 189 200 142 0 0.7593583 False
9 0 16 341 353 188 195 6 0 0.07142857 False
9 0 17 322 336 188 196 69 0 0.6160714 False
9 0 18 350 361 187 195 23 0 0.2613636 False
9 0 19 331 344 188 195 45 0 0.4945055 False
9 1 1 337 354 189 200 149 0 0.7967914 False
9 1 16 338 351 188 195 6 0 0.06593407 False
9 1 17 319 333 188 196 71 0 0.6339286 False
9 1 18 348 359 187 195 34 0 0.3863636 False
9 1 19 329 342 188 195 43 0 0.4725275 False
10 0 1 340 358 191 203 155 0 0.7175926 False
10 0 16 340 352 190 198 6 0 0.0625 False
10 0 17 321 335 190 198 70 0 0.625 False
10 0 18 349 360 190 197 22 0 0.2857143 False
10 0 19 330 343 191 197 38 0 0.4871795 False
10 1 1 336 354 191 203 165 0 0.7638889 False
10 1 17 318 332 190 198 71 0 0.6339286 False
10 1 18 346 357 190 197 32 0 0.4155844 False
10 1 19 328 340 191 197 37 0 0.5138889 False
11 0 1 340 357 194 206 166 0 0.8137255 False
11 0 16 338 351 193 201 12 0 0.1153846 False
11 0 17 319 334 193 201 72 0 0.6 False
11 0 18 348 359 193 200 21 0 0.2727273 False
11 0 19 329 342 194 201 40 0 0.4395604 False
11 1 1 336 353 194 206 159 0 0.7794118 False
11 1 17 317 331 193 201 71 0 0.6339286 False
11 1 18 345 357 193 200 26 0 0.3095238 False
11 1 19 326 339 194 201 43 0 0.4725275 False
12 0 1 339 357 195 207 159 0 0.7361111 False
12 0 16 337 350 194 202 14 0 0.1346154 False
12 0 17 318 332 194 202 74 0 0.6607143 False
12 0 18 347 358 194 201 19 0 0.2467532 False
12 0 19 328 341 194 202 40 0 0.3846154 False
12 1 1 335 353 195 207 162 0 0.75 False
12 1 16 334 347 194 202 5 0 0.04807692 False
