frame cameraID trackID left right top bottom number_pixels truncation_ratio occupancy_ratio isMoving
0 0 1 750 764 179 189 103 0 0.7357143 False
0 0 10 0 116 200 257 4628 0.03478831 0.6999395 False
0 0 11 105 228 188 244 4000 0 0.5807201 False
0 0 12 218 300 193 231 1646 0 0.5282413 False
0 0 16 754 764 178 185 5 0 0.07142857 False
0 0 17 738 750 179 185 49 0 0.6805556 False
0 0 18 762 771 178 184 17 0 0.3148148 False
0 0 19 746 757 179 185 13 0 0.1969697 False
0 1 1 746 761 179 189 116 0 0.7733333 False
0 1 10 0 99 200 256 4061 0.125243 0.7325036 False
0 1 11 89 214 188 244 4076 0 0.5822857 False
0 1 12 205 288 193 231 1323 0 0.4194673 False
0 1 16 751 762 178 185 10 0 0.1298701 False
0 1 17 736 747 179 185 50 0 0.7575758 False
0 1 18 760 769 178 184 8 0 0.1481481 False
0 1 19 744 755 179 185 6 0 0.09090909 False
1 0 1 748 762 180 190 108 0 0.7714286 False
1 0 10 0 83 202 261 3594 0.3505592 0.7339187 False
1 0 11 73 206 189 248 4550 0 0.5798394 False
1 0 12 197 283 194 234 1373 0 0.3991279 False
1 0 16 751 762 179 186 3 0 0.03896104 False
1 0 17 736 747 179 186 51 0 0.6623377 False
1 0 18 760 769 179 185 22 0 0.4074074 False
1 0 19 744 755 180 186 13 0 0.1969697 False
1 1 1 744 759 180 190 105 0 0.7 False
1 1 10 0 66 202 258 2613 0.5470302 0.7069805 False
1 1 11 56 192 189 248 4640 0 0.5782652 False
1 1 12 183 271 194 234 1467 0 0.4167614 False
1 1 16 749 760 179 186 6 0 0.07792208 False
1 1 17 733 745 179 186 52 0 0.6190476 False
1 1 18 757 767 179 185 15 0 0.25 False
1 1 19 742 752 180 186 7 0 0.1166667 False
2 0 1 746 761 180 191 120 0 0.7272727 False
2 0 10 0 47 205 262 1787 0.7807081 0.6670399 False
2 0 11 37 183 191 253 5223 0 0.5769995 False
2 0 12 174 266 196 238 1632 0 0.4223602 False
2 0 16 749 760 180 186 2 0 0.03030303 False
2 0 17 733 745 180 187 53 0 0.6309524 False
2 0 18 757 767 179 186 31 0 0.4428571 False
2 0 19 741 752 180 186 18 0 0.2727273 False
2 1 1 742 757 180 191 112 0 0.6787879 False
2 1 10 0 28 205 259 902 0.9247077 0.5965608 False
2 1 11 19 167 191 253 4582 0 0.4993461 False
2 1 12 159 254 196 238 2324 0 0.5824561 False
2 1 16 747 758 180 186 6 0 0.09090909 False
2 1 17 731 743 180 187 51 0 0.6071429 False
2 1 18 755 765 179 186 17 0 0.2428571 False
2 1 19 739 750 180 186 13 0 0.1969697 False
3 0 1 744 759 181 191 118 0 0.7866667 False
3 0 11 0 154 193 260 4629 0.00274092 0.4486335 False
3 0 12 146 246 198 243 2610 0 0.58 False
3 0 16 747 758 181 187 1 0 0.01515152 False
3 0 17 731 743 181 188 52 0 0.6190476 False
3 0 18 755 765 180 187 37 0 0.5285714 False
3 0 19 739 750 181 187 23 0 0.3484848 False
3 1 1 741 755 181 191 123 0 0.8785715 False
3 1 11 0 138 193 259 4163 0.03884435 0.4570707 False
3 1 12 131 233 198 243 2655 0 0.5784314 False
3 1 16 744 755 181 187 6 0 0.09090909 False
3 1 17 729 741 181 188 52 0 0.6190476 False
3 1 18 753 762 180 187 24 0 0.3809524 False
3 1 19 737 748 181 187 13 0 0.1969697 False
4 0 1 742 757 181 191 113 0 0.7533333 False
4 0 11 0 124 194 264 3972 0.1604779 0.4576037 False
4 0 12 118 225 199 246 2942 0 0.585007 False
4 0 17 729 741 181 187 53 0 0.7361111 False
4 0 18 753 763 180 187 33 0 0.4714286 False
4 0 19 737 748 181 187 26 0 0.3939394 False
4 1 1 739 754 181 191 118 0 0.7866667 False
4 1 11 0 108 194 263 5062 0.3021084 0.6792808 False
