frame cameraID trackID alpha width height length world_space_X world_space_Y world_space_Z rotation_world_space_y rotation_world_space_x rotation_world_space_z camera_space_X camera_space_Y camera_space_Z rotation_camera_space_y rotation_camera_space_x rotation_camera_space_z
0 0 1 -1.454675 1.594949 1.432108 4.21347 -72.21484 -113 85.46973 -2.157027 0 0 20.43861 0.3098519 108.8739 -1.269107 0.01469268 -0.0215018
0 0 10 2.252065 1.401274 1.463894 3.271556 -27.77795 -113 1.434672 0.7009272 0 0 -16.70561 1.903195 21.38509 1.588905 -0.008089006 0.02475379
0 0 11 2.188078 1.599511 1.776991 4.289922 -30.91397 -113 4.805461 0.7455663 0 0 -16.06951 1.852522 25.94466 1.633532 -0.009185466 0.02436827
0 0 12 2.13098 1.470564 1.502682 3.617682 -34.63183 -113 8.586102 0.7825729 0 0 -15.48256 1.797649 31.21421 1.67053 -0.01008067 0.02401183
0 0 16 1.870118 1.298692 1.451412 4.043456 -109.7887 -113 130.5431 1.170362 0 0 31.6948 -0.410383 166.4603 2.05827 -0.01841163 0.01841793
0 0 17 1.943657 1.440342 1.5 3.686158 -113.0443 -113 129.0904 1.223806 0 0 28.51458 -0.3434851 168.0699 2.111715 -0.01936916 0.01740816
0 0 18 1.90203 1.136561 1.5 3.459903 -112.106 -113 136.0593 1.212433 0 0 34.51116 -0.5208349 171.7379 2.100342 -0.01916993 0.01762731
0 0 19 1.946417 1.235785 1.402824 3.797681 -115.4593 -113 134.5684 1.236755 0 0 31.23968 -0.4520597 173.3992 2.124665 -0.01959294 0.0171559
0 1 1 -1.449944 1.594949 1.432108 4.21347 -72.21484 -113 85.46973 -2.157027 0 0 19.90589 0.3098536 108.8739 -1.269107 0.01469268 -0.0215018
0 1 10 2.267349 1.401274 1.463894 3.271556 -27.77795 -113 1.434672 0.7009272 0 0 -17.23834 1.903197 21.38509 1.588905 -0.008089006 0.02475379
0 1 11 2.202782 1.599511 1.776991 4.289922 -30.91397 -113 4.805461 0.7455663 0 0 -16.60224 1.852524 25.94466 1.633532 -0.009185466 0.02436827
0 1 12 2.144584 1.470564 1.502682 3.617682 -34.63183 -113 8.586102 0.7825729 0 0 -16.01529 1.79765 31.21421 1.67053 -0.01008067 0.02401183
0 1 16 1.873208 1.298692 1.451412 4.043456 -109.7887 -113 130.5431 1.170362 0 0 31.16209 -0.4103816 166.4603 2.05827 -0.01841163 0.01841793
0 1 17 1.946739 1.440342 1.5 3.686158 -113.0443 -113 129.0904 1.223806 0 0 27.98186 -0.3434837 168.0699 2.111715 -0.01936916 0.01740816
0 1 18 1.905014 1.136561 1.5 3.459903 -112.106 -113 136.0593 1.212433 0 0 33.97844 -0.5208337 171.7379 2.100342 -0.01916993 0.01762731
0 1 19 1.949394 1.235785 1.402824 3.797681 -115.4593 -113 134.5684 1.236755 0 0 30.70696 -0.4520586 173.3992 2.124665 -0.01959294 0.0171559
1 0 1 -1.456617 1.594949 1.432108 4.21347 -72.21484 -113 85.46973 -2.157027 0 0 19.96793 0.4371969 107.7701 -1.273412 0.01359736 -0.02140698
1 0 10 2.280298 1.401274 1.463894 3.271556 -27.77795 -113 1.434672 0.7009272 0 0 -16.79985 1.926051 20.12058 1.584602 -0.007063987 0.02435628
1 0 11 2.209567 1.599511 1.776991 4.289922 -30.91397 -113 4.805461 0.7455663 0 0 -16.18337 1.880282 24.68291 1.629229 -0.00814373 0.02401689
1 0 12 2.146862 1.470564 1.502682 3.617682 -34.63183 -113 8.586102 0.7825729 0 0 -15.61909 1.831016 29.95499 1.666227 -0.009026648 0.02369923
1 0 16 1.868831 1.298692 1.451412 4.043456 -109.7887 -113 130.5431 1.170362 0 0 30.97633 -0.2197509 165.4051 2.053962 -0.01731762 0.01852707
1 0 17 1.942515 1.440342 1.5 3.686158 -113.0443 -113 129.0904 1.223806 0 0 27.78918 -0.1525388 167.001 2.107406 -0.01828253 0.0175756
1 0 18 1.900716 1.136561 1.5 3.459903 -112.106 -113 136.0593 1.212433 0 0 33.76997 -0.3236601 170.695 2.096032 -0.01808147 0.01778239
1 0 19 1.945244 1.235785 1.402824 3.797681 -115.4593 -113 134.5684 1.236755 0 0 30.49134 -0.2545557 172.3421 2.120355 -0.01850857 0.01733739
1 1 1 -1.451834 1.594949 1.432108 4.21347 -72.21484 -113 85.46973 -2.157027 0 0 19.4352 0.4371984 107.7701 -1.273412 0.01359736 -0.02140698
1 1 10 2.295697 1.401274 1.463894 3.271556 -27.77795 -113 1.434672 0.7009272 0 0 -17.33257 1.926052 20.12058 1.584602 -0.007063987 0.02435628
1 1 11 2.224512 1.599511 1.776991 4.289922 -30.91397 -113 4.805461 0.7455663 0 0 -16.7161 1.880283 24.6829 1.629229 -0.00814373 0.02401689
1 1 12 2.160743 1.470564 1.502682 3.617682 -34.63183 -113 8.586102 0.7825729 0 0 -16.15182 1.831017 29.95499 1.666227 -0.009026648 0.02369923
