frame cameraID trackID alpha width height length world_space_X world_space_Y world_space_Z rotation_world_space_y rotation_world_space_x rotation_world_space_z camera_space_X camera_space_Y camera_space_Z rotation_camera_space_y rotation_camera_space_x rotation_camera_space_z
0 0 0 2.622327 1.474971 1.416544 3.5201 0.8166757 -113 13.16139 2.639189 0 0 -6.175745 1.432464 10.55866 2.093086 -0.005485528 -0.01737258
0 1 0 2.659095 1.474971 1.416544 3.5201 0.8166757 -113 13.16139 2.639189 0 0 -6.708469 1.432462 10.55866 2.093086 -0.005485528 -0.01737258
1 0 0 2.637614 1.474971 1.416544 3.5201 0.006390853 -113 12.67208 2.586246 0 0 -6.614456 1.438338 9.719515 2.040073 -0.006321732 -0.01709821
1 1 0 2.674127 1.474971 1.416544 3.5201 0.006390853 -113 12.67208 2.586246 0 0 -7.147181 1.438336 9.719515 2.040073 -0.006321732 -0.01709821
2 0 0 2.654959 1.474971 1.416544 3.5201 -0.8245401 -113 12.09468 2.527223 0 0 -7.02352 1.445502 8.794654 1.981065 -0.007334223 -0.0167011
2 1 0 2.690867 1.474971 1.416544 3.5201 -0.8245401 -113 12.09468 2.527223 0 0 -7.556245 1.445501 8.794654 1.981065 -0.007334223 -0.0167011
3 0 0 2.703452 1.474971 1.416544 3.5201 -1.593172 -113 11.49829 2.498038 0 0 -7.370247 1.453529 7.886118 1.951855 -0.007830972 -0.0164577
3 1 0 2.73832 1.474971 1.416544 3.5201 -1.593172 -113 11.49829 2.498038 0 0 -7.902972 1.453526 7.886118 1.951855 -0.007830972 -0.0164577
4 0 1 -3.244606 1.715879 1.620588 4.352635 32.39489 -113 19.44383 -2.20111 0 0 17.54723 1.434045 32.33096 -2.747356 0.01658832 -0.007623295
4 0 0 2.740923 1.474971 1.416544 3.5201 -2.358826 -113 10.84739 2.450245 0 0 -7.685235 1.462079 6.933281 1.904132 -0.008619857 -0.01609305
4 1 1 -3.23179 1.715879 1.620588 4.352635 32.39489 -113 19.44383 -2.20111 0 0 17.0145 1.434046 32.33096 -2.747356 0.01658832 -0.007623295
5 0 1 -3.206615 1.715879 1.620588 4.352635 31.75554 -113 20.40197 -2.194421 0 0 16.5031 1.413494 32.818 -2.740676 0.01664058 -0.007541999
5 1 1 -3.193574 1.715879 1.620588 4.352635 31.75554 -113 20.40197 -2.194421 0 0 15.97038 1.413493 32.818 -2.740676 0.01664058 -0.007541999
6 0 1 -3.168564 1.715879 1.620588 4.352635 31.1152 -113 21.36169 -2.187771 0 0 15.45889 1.396109 33.30513 -2.733997 0.01669108 -0.007373845
6 1 1 -3.155324 1.715879 1.620588 4.352635 31.1152 -113 21.36169 -2.187771 0 0 14.92617 1.39611 33.30512 -2.733997 0.01669108 -0.007373845
7 0 1 -3.130519 1.715879 1.620588 4.352635 30.47562 -113 22.31972 -2.18107 0 0 14.41474 1.375628 33.79216 -2.727319 0.01669872 -0.007290171
7 1 1 -3.117105 1.715879 1.620588 4.352635 30.47562 -113 22.31972 -2.18107 0 0 13.88202 1.375625 33.79216 -2.727319 0.01669872 -0.007290171
8 0 1 -3.065993 1.715879 1.620588 4.352635 29.92528 -113 23.24228 -2.145595 0 0 13.46584 1.355615 34.2948 -2.691839 0.01697081 -0.006733871
8 1 1 -3.052464 1.715879 1.620588 4.352635 29.92528 -113 23.24228 -2.145595 0 0 12.93312 1.355618 34.2948 -2.691839 0.01697081 -0.006733871
9 0 1 -3.001657 1.715879 1.620588 4.352635 29.37547 -113 24.16417 -2.110094 0 0 12.51694 1.336554 34.79748 -2.656359 0.01728671 -0.006131148
9 1 1 -2.988036 1.715879 1.620588 4.352635 29.37547 -113 24.16417 -2.110094 0 0 11.98422 1.336555 34.79748 -2.656359 0.01728671 -0.006131148
10 0 1 -2.972815 1.715879 1.620588 4.352635 28.75322 -113 25.14941 -2.11239 0 0 11.47527 1.317262 35.31644 -2.658649 0.01722146 -0.006161405
10 1 1 -2.959111 1.715879 1.620588 4.352635 28.75322 -113 25.14941 -2.11239 0 0 10.94254 1.317261 35.31644 -2.658649 0.01722146 -0.006161405
11 0 1 -2.921301 1.715879 1.620588 4.352635 28.23228 -113 26.17595 -2.090715 0 0 10.49746 1.296162 35.92324 -2.636998 0.01739029 -0.00580075
11 1 1 -2.907584 1.715879 1.620588 4.352635 28.23228 -113 26.17595 -2.090715 0 0 9.964734 1.296161 35.92325 -2.636998 0.01739029 -0.00580075
12 0 1 -2.870274 1.715879 1.620588 4.352635 27.71195 -113 27.20192 -2.069036 0 0 9.519671 1.274533 36.53004 -2.615346 0.01758445 -0.00543851
12 1 1 -2.85657 1.715879 1.620588 4.352635 27.71195 -113 27.20192 -2.069036 0 0 8.986947 1.274534 36.53004 -2.615346 0.01758445 -0.00543851
13 0 1 -2.825086 1.715879 1.620588 4.352635 27.24967 -113 28.21121 -2.051269 0 0 8.601868 1.257917 37.15238 -2.597565 0.01759393 -0.005062735
13 1 1 -2.811434 1.715879 1.620588 4.352635 27.24967 -113 28.21121 -2.051269 0 0 8.069143 1.257916 37.15238 -2.597565 0.01759393 -0.005062735
14 0 1 -2.78047 1.715879 1.620588 4.352635 26.78886 -113 29.21887 -2.033455 0 0 7.684238 1.235995 37.77463 -2.579785 0.01773533 -0.004788282
14 1 1 -2.766891 1.715879 1.620588 4.352635 26.78886 -113 29.21887 -2.033455 0 0 7.151512 1.235996 37.77463 -2.579785 0.01773533 -0.004788282
15 0 1 -2.726195 1.715879 1.620588 4.352635 26.37208 -113 30.2623 -2.005158 0 0 6.783619 1.21887 38.45036 -2.551566 0.01782604 -0.004212311
15 1 1 -2.712727 1.715879 1.620588 4.352635 26.37208 -113 30.2623 -2.005158 0 0 6.250895 1.218873 38.45036 -2.551566 0.01782604 -0.004212311
16 0 1 -2.672596 1.715879 1.620588 4.352635 25.9543 -113 31.30681 -1.976911 0 0 5.883166 1.195804 39.12595 -2.523349 0.01797974 -0.003765011
16 1 1 -2.659256 1.715879 1.620588 4.352635 25.9543 -113 31.30681 -1.976911 0 0 5.350441 1.195807 39.12595 -2.523349 0.01797974 -0.003765011
