frame cameraID trackID alpha width height length world_space_X world_space_Y world_space_Z rotation_world_space_y rotation_world_space_x rotation_world_space_z camera_space_X camera_space_Y camera_space_Z rotation_camera_space_y rotation_camera_space_x rotation_camera_space_z
0 0 0 2.622858 1.474971 1.416544 3.5201 0.8166757 -113 13.16139 2.639189 0 0 -3.238652 1.452084 11.79321 2.354845 -0.0008025282 -0.01820028
0 1 0 2.664359 1.474971 1.416544 3.5201 0.8166757 -113 13.16139 2.639189 0 0 -3.771377 1.452082 11.79321 2.354845 -0.0008025282 -0.01820028
1 0 0 2.638181 1.474971 1.416544 3.5201 0.006390853 -113 12.67208 2.586246 0 0 -3.87957 1.453822 11.09613 2.301833 -0.001681243 -0.01815167
1 1 0 2.680306 1.474971 1.416544 3.5201 0.006390853 -113 12.67208 2.586246 0 0 -4.412294 1.453821 11.09613 2.301833 -0.001681243 -0.01815167
2 0 0 2.655567 1.474971 1.416544 3.5201 -0.8245401 -113 12.09468 2.527223 0 0 -4.514059 1.45633 10.30862 2.242828 -0.002762009 -0.01803011
2 1 0 2.698096 1.474971 1.416544 3.5201 -0.8245401 -113 12.09468 2.527223 0 0 -5.046783 1.456329 10.30862 2.242828 -0.002762009 -0.01803011
3 0 0 2.704098 1.474971 1.416544 3.5201 -1.593172 -113 11.49829 2.498038 0 0 -5.084105 1.459912 9.52075 2.213619 -0.003304825 -0.01792354
3 1 0 2.746621 1.474971 1.416544 3.5201 -1.593172 -113 11.49829 2.498038 0 0 -5.61683 1.459909 9.520749 2.213619 -0.003304825 -0.01792354
4 0 0 2.741607 1.474971 1.416544 3.5201 -2.358826 -113 10.84739 2.450245 0 0 -5.63497 1.464027 8.681856 2.165899 -0.004161199 -0.01777549
4 0 1 -3.244489 1.715879 1.620588 4.352635 32.39489 -113 19.44383 -2.20111 0 0 25.31013 1.605944 26.68466 -2.485521 0.01799608 -0.003069777
4 1 0 2.783579 1.474971 1.416544 3.5201 -2.358826 -113 10.84739 2.450245 0 0 -6.167695 1.464028 8.681856 2.165899 -0.004161199 -0.01777549
4 1 1 -3.233874 1.715879 1.620588 4.352635 32.39489 -113 19.44383 -2.20111 0 0 24.7774 1.605945 26.68466 -2.485521 0.01799608 -0.003069777
5 0 0 2.7741 1.474971 1.416544 3.5201 -3.065386 -113 10.14763 2.394179 0 0 -6.116766 1.469564 7.812294 2.109832 -0.005180025 -0.01752015
5 0 1 -3.206491 1.715879 1.620588 4.352635 31.75554 -113 20.40197 -2.194421 0 0 24.42767 1.584065 27.42538 -2.478841 0.01802553 -0.002977729
5 1 0 2.814997 1.474971 1.416544 3.5201 -3.065386 -113 10.14763 2.394179 0 0 -6.649491 1.469562 7.812294 2.109832 -0.005180025 -0.01752015
5 1 1 -3.195555 1.715879 1.620588 4.352635 31.75554 -113 20.40197 -2.194421 0 0 23.89494 1.584064 27.42538 -2.478841 0.01802553 -0.002977729
6 0 0 2.814673 1.474971 1.416544 3.5201 -3.754492 -113 9.411617 2.338928 0 0 -6.57103 1.476238 6.912786 2.054615 -0.006082376 -0.01720375
6 0 1 -3.168435 1.715879 1.620588 4.352635 31.1152 -113 21.36169 -2.187771 0 0 23.54518 1.565191 28.16616 -2.472161 0.01803078 -0.002802222
6 1 0 2.853637 1.474971 1.416544 3.5201 -3.754492 -113 9.411617 2.338928 0 0 -7.103755 1.476239 6.912786 2.054615 -0.006082376 -0.01720375
6 1 1 -3.157197 1.715879 1.620588 4.352635 31.1152 -113 21.36169 -2.187771 0 0 23.01245 1.565193 28.16616 -2.472161 0.01803078 -0.002802222
7 0 0 2.848652 1.474971 1.416544 3.5201 -4.403133 -113 8.644154 2.271911 0 0 -6.977762 1.483778 5.99428 1.987583 -0.007249203 -0.01671654
7 0 1 -3.130385 1.715879 1.620588 4.352635 30.47562 -113 22.31972 -2.18107 0 0 22.66271 1.542959 28.90689 -2.465483 0.0180165 -0.002719426
7 1 1 -3.118869 1.715879 1.620588 4.352635 30.47562 -113 22.31972 -2.18107 0 0 22.12999 1.542956 28.90689 -2.465483 0.0180165 -0.002719426
8 0 1 -3.065853 1.715879 1.620588 4.352635 29.92528 -113 23.24228 -2.145595 0 0 21.87626 1.522145 29.63802 -2.430002 0.01813534 -0.002111631
8 1 1 -3.054118 1.715879 1.620588 4.352635 29.92528 -113 23.24228 -2.145595 0 0 21.34353 1.522147 29.63802 -2.430002 0.01813534 -0.002111631
9 0 1 -3.001511 1.715879 1.620588 4.352635 29.37547 -113 24.16417 -2.110094 0 0 21.08981 1.502866 30.36916 -2.39452 0.01828448 -0.001447652
9 1 1 -2.989578 1.715879 1.620588 4.352635 29.37547 -113 24.16417 -2.110094 0 0 20.55708 1.502866 30.36916 -2.39452 0.01828448 -0.001447652
