frame cameraID trackID left right top bottom number_pixels truncation_ratio occupancy_ratio isMoving
25 0 0 756 787 174 195 499 0 0.766513 True
25 1 0 749 780 174 195 503 0 0.7726575 True
26 0 0 748 783 176 197 568 0 0.7727891 True
26 1 0 741 776 176 197 582 0 0.7918367 True
27 0 0 741 778 176 199 661 0 0.7767333 True
27 1 0 732 770 176 199 668 0 0.7643021 True
28 0 0 732 772 177 201 755 0 0.7864583 True
28 1 0 723 764 177 201 760 0 0.7723577 True
29 0 0 722 765 176 203 883 0 0.7605513 True
29 1 0 712 756 176 203 887 0 0.746633 True
30 0 0 709 757 176 205 1033 0 0.7420977 True
30 1 0 699 747 176 205 1047 0 0.7521552 True
31 0 0 695 747 176 208 1261 0 0.7578125 True
31 1 0 684 736 176 208 1272 0 0.7644231 True
32 0 0 679 737 176 212 1532 0 0.7337165 True
32 1 0 666 725 176 212 1553 0 0.7311676 True
33 0 0 659 725 178 218 1948 0 0.7378788 True
33 1 0 645 712 178 218 1961 0 0.7317164 True
34 0 0 634 710 180 225 2524 0 0.7380117 True
34 1 0 618 696 180 225 2560 0 0.7293447 True
35 0 0 601 691 181 234 3432 0 0.7194968 True
35 1 0 582 675 181 234 3479 0 0.7058227 True
36 0 0 556 666 184 247 4913 0 0.7089466 True
36 1 0 533 647 184 247 4985 0 0.6940963 True
37 0 0 494 635 187 265 7523 0 0.6840335 True
37 1 0 467 612 187 265 7663 0 0.677542 True
38 0 0 397 589 192 295 12866 0 0.6505865 True
38 1 0 362 561 192 295 13167 0 0.6423867 True
39 0 0 235 522 199 347 25896 0 0.6096619 True
39 1 0 187 486 199 347 26650 0 0.6022327 True
40 0 0 0 402 209 374 50860 0.2161744 0.7667722 True
40 1 0 0 352 209 374 46275 0.3522331 0.7967459 True
54 0 1 780 809 174 197 437 0 0.6551724 True
54 0 3 830 855 172 192 368 0 0.736 True
54 1 1 772 802 174 197 446 0 0.6463768 True
54 1 3 823 849 172 192 370 0 0.7115384 True
55 0 1 779 809 173 196 466 0 0.6753623 True
55 0 3 830 856 170 191 372 0 0.6813187 True
55 1 1 771 801 173 196 468 0 0.6782609 True
55 1 3 823 849 170 191 372 0 0.6813187 True
56 0 1 778 808 171 194 492 0 0.7130435 True
56 0 3 830 856 168 189 381 0 0.6978022 True
56 1 1 769 800 171 194 491 0 0.6886395 True
56 1 3 823 849 168 189 388 0 0.7106227 True
57 0 1 776 808 170 194 509 0 0.6627604 True
57 0 3 830 857 167 189 387 0 0.6515151 True
57 1 1 768 800 170 194 519 0 0.6757813 True
57 1 3 823 850 167 189 393 0 0.6616161 True
58 0 1 775 807 170 195 529 0 0.66125 True
58 0 3 831 857 167 189 404 0 0.7062937 True
58 1 1 767 799 170 195 542 0 0.6775 True
58 1 3 823 850 167 189 412 0 0.6936027 True
59 0 1 773 806 172 197 555 0 0.6727273 True
59 0 3 830 857 169 191 414 0 0.6969697 True
59 1 1 764 798 172 197 558 0 0.6564706 True
59 1 3 823 850 169 191 414 0 0.6969697 True
60 0 1 771 805 173 199 589 0 0.6662896 True
60 0 3 830 857 170 193 423 0 0.6811594 True
60 1 1 762 797 173 199 597 0 0.6560439 True
60 1 3 822 850 170 193 422 0 0.6552795 True
61 0 1 769 804 174 201 619 0 0.6550264 True
61 0 3 830 857 171 194 447 0 0.7198068 True
61 1 1 760 796 174 201 624 0 0.6419753 True
61 1 3 822 850 171 194 450 0 0.6987578 True
62 0 1 768 804 176 203 654 0 0.6728395 True
62 0 3 830 857 173 196 456 0 0.7342995 True
62 1 1 758 795 176 203 661 0 0.6616617 True
62 1 3 822 850 173 196 457 0 0.7096273 True
63 0 1 766 803 177 205 673 0 0.6496139 True
63 0 3 829 857 174 198 465 0 0.6919643 True
63 1 1 756 794 177 205 682 0 0.6409774 True
63 1 3 821 850 174 198 466 0 0.6695402 True
64 0 1 764 802 178 206 722 0 0.6785714 True
64 0 3 829 857 175 198 483 0 0.75 True
64 1 1 754 793 178 206 722 0 0.6611722 True
64 1 3 821 850 175 198 485 0 0.7271364 True
65 0 1 762 801 177 206 748 0 0.6613616 True
65 0 3 828 857 174 198 488 0 0.7011494 True
65 1 1 752 792 177 206 761 0 0.6560345 True
65 1 3 820 850 174 198 493 0 0.6847222 True
66 0 1 761 801 176 206 774 0 0.645 True
66 0 3 828 857 173 198 514 0 0.7089655 True
66 1 1 750 791 176 206 792 0 0.6439024 True
66 1 3 819 850 173 198 523 0 0.6748387 True
67 0 1 758 799 176 206 826 0 0.6715447 True
67 0 3 827 857 172 197 528 0 0.704 True
67 1 1 748 789 176 206 838 0 0.6813008 True
67 1 3 819 849 172 197 531 0 0.708 True
68 0 1 756 797 176 207 862 0 0.6782061 True
68 0 6 802 826 172 193 394 0 0.781746 True
68 0 3 826 857 172 197 539 0 0.6954839 True
68 1 1 745 787 176 207 882 0 0.6774194 True
68 1 6 796 820 172 193 395 0 0.7837301 True
68 1 3 818 849 172 197 548 0 0.7070968 True
69 0 1 753 796 175 207 908 0 0.6598837 True
69 0 6 802 825 172 193 401 0 0.8302277 True
69 0 3 826 858 172 197 552 0 0.69 True
69 1 1 742 785 175 207 912 0 0.6627907 True
69 1 6 795 819 172 193 402 0 0.797619 True
69 1 3 818 850 172 197 564 0 0.705 True
70 0 1 751 795 175 208 959 0 0.6604683 True
70 0 6 801 825 171 193 411 0 0.7784091 True
70 0 3 826 858 171 197 570 0 0.6850961 True
70 0 4 733 764 176 198 413 0 0.6055719 True
70 1 1 739 784 175 208 962 0 0.6478115 True
70 1 6 794 818 171 193 412 0 0.780303 True
70 1 3 817 850 171 197 585 0 0.6818182 True
