frame cameraID K[0,0] K[1,1] K[0,2] K[1,2]
0 0 725.0087 725.0087 620.5 187
0 1 725.0087 725.0087 620.5 187
1 0 725.0087 725.0087 620.5 187
1 1 725.0087 725.0087 620.5 187
2 0 725.0087 725.0087 620.5 187
2 1 725.0087 725.0087 620.5 187
3 0 725.0087 725.0087 620.5 187
3 1 725.0087 725.0087 620.5 187
4 0 725.0087 725.0087 620.5 187
4 1 725.0087 725.0087 620.5 187
5 0 725.0087 725.0087 620.5 187
5 1 725.0087 725.0087 620.5 187
6 0 725.0087 725.0087 620.5 187
6 1 725.0087 725.0087 620.5 187
7 0 725.0087 725.0087 620.5 187
7 1 725.0087 725.0087 620.5 187
8 0 725.0087 725.0087 620.5 187
8 1 725.0087 725.0087 620.5 187
9 0 725.0087 725.0087 620.5 187
9 1 725.0087 725.0087 620.5 187
10 0 725.0087 725.0087 620.5 187
10 1 725.0087 725.0087 620.5 187
11 0 725.0087 725.0087 620.5 187
11 1 725.0087 725.0087 620.5 187
12 0 725.0087 725.0087 620.5 187
12 1 725.0087 725.0087 620.5 187
13 0 725.0087 725.0087 620.5 187
13 1 725.0087 725.0087 620.5 187
14 0 725.0087 725.0087 620.5 187
14 1 725.0087 725.0087 620.5 187
15 0 725.0087 725.0087 620.5 187
15 1 725.0087 725.0087 620.5 187
16 0 725.0087 725.0087 620.5 187
16 1 725.0087 725.0087 620.5 187
17 0 725.0087 725.0087 620.5 187
17 1 725.0087 725.0087 620.5 187
18 0 725.0087 725.0087 620.5 187
18 1 725.0087 725.0087 620.5 187
19 0 725.0087 725.0087 620.5 187
19 1 725.0087 725.0087 620.5 187
20 0 725.0087 725.0087 620.5 187
20 1 725.0087 725.0087 620.5 187
21 0 725.0087 725.0087 620.5 187
21 1 725.0087 725.0087 620.5 187
22 0 725.0087 725.0087 620.5 187
22 1 725.0087 725.0087 620.5 187
23 0 725.0087 725.0087 620.5 187
23 1 725.0087 725.0087 620.5 187
24 0 725.0087 725.0087 620.5 187
24 1 725.0087 725.0087 620.5 187
25 0 725.0087 725.0087 620.5 187
25 1 725.0087 725.0087 620.5 187
26 0 725.0087 725.0087 620.5 187
26 1 725.0087 725.0087 620.5 187
27 0 725.0087 725.0087 620.5 187
27 1 725.0087 725.0087 620.5 187
28 0 725.0087 725.0087 620.5 187
28 1 725.0087 725.0087 620.5 187
29 0 725.0087 725.0087 620.5 187
29 1 725.0087 725.0087 620.5 187
30 0 725.0087 725.0087 620.5 187
30 1 725.0087 725.0087 620.5 187
31 0 725.0087 725.0087 620.5 187
31 1 725.0087 725.0087 620.5 187
32 0 725.0087 725.0087 620.5 187
32 1 725.0087 725.0087 620.5 187
33 0 725.0087 725.0087 620.5 187
33 1 725.0087 725.0087 620.5 187
34 0 725.0087 725.0087 620.5 187
34 1 725.0087 725.0087 620.5 187
35 0 725.0087 725.0087 620.5 187
35 1 725.0087 725.0087 620.5 187
36 0 725.0087 725.0087 620.5 187
36 1 725.0087 725.0087 620.5 187
37 0 725.0087 725.0087 620.5 187
37 1 725.0087 725.0087 620.5 187
38 0 725.0087 725.0087 620.5 187
38 1 725.0087 725.0087 620.5 187
39 0 725.0087 725.0087 620.5 187
39 1 725.0087 725.0087 620.5 187
40 0 725.0087 725.0087 620.5 187
40 1 725.0087 725.0087 620.5 187
41 0 725.0087 725.0087 620.5 187
41 1 725.0087 725.0087 620.5 187
42 0 725.0087 725.0087 620.5 187
42 1 725.0087 725.0087 620.5 187
43 0 725.0087 725.0087 620.5 187
43 1 725.0087 725.0087 620.5 187
44 0 725.0087 725.0087 620.5 187
44 1 725.0087 725.0087 620.5 187
45 0 725.0087 725.0087 620.5 187
45 1 725.0087 725.0087 620.5 187
46 0 725.0087 725.0087 620.5 187
46 1 725.0087 725.0087 620.5 187
47 0 725.0087 725.0087 620.5 187
47 1 725.0087 725.0087 620.5 187
48 0 725.0087 725.0087 620.5 187
48 1 725.0087 725.0087 620.5 187
49 0 725.0087 725.0087 620.5 187
49 1 725.0087 725.0087 620.5 187
50 0 725.0087 725.0087 620.5 187
50 1 725.0087 725.0087 620.5 187
51 0 725.0087 725.0087 620.5 187
51 1 725.0087 725.0087 620.5 187
52 0 725.0087 725.0087 620.5 187
52 1 725.0087 725.0087 620.5 187
53 0 725.0087 725.0087 620.5 187
53 1 725.0087 725.0087 620.5 187
54 0 725.0087 725.0087 620.5 187
54 1 725.0087 725.0087 620.5 187
55 0 725.0087 725.0087 620.5 187
55 1 725.0087 725.0087 620.5 187
56 0 725.0087 725.0087 620.5 187
56 1 725.0087 725.0087 620.5 187
57 0 725.0087 725.0087 620.5 187
57 1 725.0087 725.0087 620.5 187
58 0 725.0087 725.0087 620.5 187
58 1 725.0087 725.0087 620.5 187
59 0 725.0087 725.0087 620.5 187
