trackID label model color
0 Car Sedan4Door Silver
1 Car Hatchback Black
3 Car Hatchback Black
6 Car SUV Black
4 Car Sedan4Door Silver
2 Car Peugeot_207 Silver
5 Van Firetruck_small_eu Black
7 Car Sedan4Door Silver
8 Car SUV White
9 Car Sedan4Door Black
10 Van Firetruck_small_eu Black
11 Car Sedan4Door White
12 Car Hatchback Black
13 Car Hybrid Silver
16 Car Hatchback White
14 Car Hatchback White
15 Van Firetruck_small_eu White
17 Car Hatchback Red
18 Car Sedan4Door Black
20 Car Hatchback Black
19 Car Sedan4Door Silver
