frame cameraID trackID left right top bottom number_pixels truncation_ratio occupancy_ratio isMoving
25 0 0 565 595 181 202 466 0 0.7396826 True
25 1 0 558 588 181 202 468 0 0.7428572 True
26 0 0 557 591 183 204 544 0 0.7619048 True
26 1 0 550 584 183 204 553 0 0.7745098 True
27 0 0 550 586 183 206 633 0 0.7644928 True
27 1 0 541 578 183 206 633 0 0.7438308 True
28 0 0 541 580 183 208 730 0 0.748718 True
28 1 0 532 572 183 208 732 0 0.732 True
29 0 0 531 573 183 210 862 0 0.7601411 True
29 1 0 521 564 183 210 870 0 0.749354 True
30 0 0 519 565 183 212 1024 0 0.7676162 True
30 1 0 508 556 183 212 1032 0 0.7413793 True
31 0 0 504 556 183 215 1257 0 0.7554086 True
31 1 0 493 545 183 215 1271 0 0.7638221 True
32 0 0 488 546 183 219 1564 0 0.7490422 True
32 1 0 475 535 183 219 1586 0 0.7342592 True
33 0 0 467 534 184 225 2000 0 0.728067 True
33 1 0 453 522 184 225 2028 0 0.7168611 True
34 0 0 441 520 186 233 2646 0 0.7126313 True
34 1 0 424 505 186 233 2689 0 0.7063304 True
35 0 0 405 500 188 244 3703 0 0.6960526 True
35 1 0 386 484 188 244 3774 0 0.6876822 True
36 0 0 355 475 191 258 5489 0 0.6827114 True
36 1 0 331 455 191 258 5615 0 0.6758546 True
37 0 0 284 442 194 280 8886 0 0.6539594 True
37 1 0 255 418 194 280 9119 0 0.6505207 True
38 0 0 165 392 200 315 16515 0 0.6326374 True
38 1 0 126 363 200 315 17033 0 0.6249496 True
39 0 0 0 317 207 374 35626 0.03882241 0.6729632 True
39 1 0 0 278 207 374 31650 0.1204023 0.6817301 True
40 0 0 0 172 220 374 18911 0.8405444 0.7139459 True
40 1 0 0 115 220 374 10368 0.9297178 0.5854319 True
54 0 3 634 658 178 198 319 0 0.6645833 True
54 0 1 588 616 181 203 410 0 0.6655844 True
54 1 3 628 652 178 198 324 0 0.675 True
54 1 1 580 608 181 203 407 0 0.6607143 True
55 0 3 635 658 177 197 333 0 0.723913 True
55 0 1 587 615 179 202 428 0 0.6645963 True
55 1 3 628 652 177 197 336 0 0.7 True
55 1 1 579 608 179 202 443 0 0.6641679 True
56 0 3 635 659 175 195 340 0 0.7083333 True
56 0 1 586 615 177 200 457 0 0.6851574 True
56 1 3 628 652 175 195 348 0 0.725 True
56 1 1 577 607 177 200 462 0 0.6695652 True
57 0 3 635 659 174 194 348 0 0.725 True
57 0 1 584 614 176 200 467 0 0.6486111 True
57 1 3 628 653 174 194 351 0 0.702 True
57 1 1 576 606 176 200 474 0 0.6583334 True
58 0 3 635 660 174 195 356 0 0.6780952 True
58 0 1 583 614 177 201 482 0 0.6478494 True
58 1 3 628 653 174 195 356 0 0.6780952 True
58 1 1 575 606 177 201 499 0 0.6706989 True
59 0 3 635 660 176 197 363 0 0.6914285 True
59 0 1 581 612 178 203 510 0 0.6580645 True
59 1 3 628 653 176 197 365 0 0.6952381 True
59 1 1 573 604 178 203 525 0 0.6774194 True
60 0 3 635 660 177 198 367 0 0.6990476 True
60 0 1 579 612 180 205 545 0 0.6606061 True
60 1 3 628 653 177 198 371 0 0.7066666 True
60 1 1 571 604 180 205 553 0 0.670303 True
