frame cameraID r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0 0 1
0 0 -0.6368979 -0.02389242 -0.7705778 -7.061051 -0.01130057 0.9997016 -0.02165645 271.5504 0.7708654 -0.005084978 -0.6369779 -2.342589 0 0 0 1
0 1 -0.6368979 -0.02389242 -0.7705778 -7.593776 -0.01130057 0.9997016 -0.02165645 271.5504 0.7708654 -0.005084978 -0.6369779 -2.342589 0 0 0 1
1 0 -0.636937 -0.02383346 -0.7705474 -7.143026 -0.01146302 0.9997043 -0.02144605 271.5473 0.7708306 -0.004826983 -0.6370219 -2.636987 0 0 0 1
1 1 -0.636937 -0.02383346 -0.7705474 -7.675751 -0.01146302 0.9997043 -0.02144605 271.5473 0.7708306 -0.004826983 -0.6370219 -2.636987 0 0 0 1
2 0 -0.6368064 -0.0241724 -0.7706448 -7.322666 -0.01191445 0.9996976 -0.02151172 271.5421 0.7709318 -0.004516985 -0.6369019 -2.881895 0 0 0 1
2 1 -0.6368064 -0.0241724 -0.7706448 -7.855392 -0.01191445 0.9996976 -0.02151172 271.5421 0.7709318 -0.004516985 -0.6369019 -2.881896 0 0 0 1
3 0 -0.6369144 -0.02416336 -0.7705559 -7.407353 -0.01165648 0.9996963 -0.02171399 271.5375 0.7708465 -0.004847981 -0.6370026 -3.298351 0 0 0 1
3 1 -0.6369144 -0.02416336 -0.7705559 -7.940078 -0.01165648 0.9996963 -0.02171399 271.5375 0.7708465 -0.004847981 -0.6370026 -3.298351 0 0 0 1
4 0 -0.6369528 -0.02404539 -0.770528 -7.471184 -0.01148983 0.9996985 -0.02169897 271.5339 0.7708175 -0.00496798 -0.637037 -3.687566 0 0 0 1
4 1 -0.6369528 -0.02404539 -0.770528 -8.003909 -0.01148983 0.9996985 -0.02169897 271.5339 0.7708175 -0.00496798 -0.637037 -3.687566 0 0 0 1
5 0 -0.6371732 -0.02381849 -0.7703525 -7.495575 -0.01160882 0.9997056 -0.02130798 271.5332 0.7706333 -0.004633985 -0.6372621 -3.918736 0 0 0 1
5 1 -0.6371732 -0.02381849 -0.7703525 -8.028301 -0.01160882 0.9997056 -0.02130798 271.5333 0.7706333 -0.004633985 -0.6372621 -3.918736 0 0 0 1
6 0 -0.6372582 -0.02363452 -0.7702881 -7.532537 -0.01132966 0.9997089 -0.02130077 271.5302 0.7705673 -0.004846982 -0.6373404 -4.295243 0 0 0 1
6 1 -0.6372582 -0.02363452 -0.7702881 -8.065263 -0.01132966 0.9997089 -0.02130077 271.5302 0.7705673 -0.004846982 -0.6373404 -4.295243 0 0 0 1
7 0 -0.637109 -0.02380943 -0.7704061 -7.674095 -0.01116801 0.999703 -0.02166016 271.5233 0.7706931 -0.005195978 -0.6371857 -4.736785 0 0 0 1
7 1 -0.637109 -0.02380943 -0.7704061 -8.20682 -0.01116801 0.999703 -0.02166016 271.5233 0.7706931 -0.005195978 -0.6371857 -4.736785 0 0 0 1
8 0 -0.6368381 -0.02409339 -0.7706211 -7.836625 -0.01158351 0.9996978 -0.02168288 271.519 0.7709106 -0.004881981 -0.6369247 -4.963894 0 0 0 1
8 1 -0.6368381 -0.02409339 -0.7706211 -8.369349 -0.01158351 0.9996978 -0.02168288 271.519 0.7709106 -0.004881981 -0.6369247 -4.963894 0 0 0 1
9 0 -0.6365125 -0.02449226 -0.7708774 -8.036798 -0.01183463 0.9996881 -0.02199018 271.512 0.7711756 -0.004873979 -0.6366038 -5.301863 0 0 0 1
9 1 -0.6365125 -0.02449226 -0.7708774 -8.569523 -0.01183463 0.9996881 -0.02199018 271.512 0.7711756 -0.004873979 -0.6366038 -5.301863 0 0 0 1
10 0 -0.6363784 -0.02445027 -0.7709896 -8.108 -0.01179094 0.9996891 -0.02197069 271.5087 0.771287 -0.004890982 -0.6364688 -5.612427 0 0 0 1
10 1 -0.6363784 -0.02445027 -0.7709896 -8.640725 -0.01179094 0.9996891 -0.02197069 271.5087 0.771287 -0.004890982 -0.6364688 -5.612427 0 0 0 1
11 0 -0.6361413 -0.02434332 -0.7711886 -8.161942 -0.01182413 0.9996924 -0.02180273 271.5069 0.7714821 -0.004750983 -0.6362334 -5.877151 0 0 0 1
11 1 -0.6361413 -0.02434332 -0.7711886 -8.694667 -0.01182413 0.9996924 -0.02180273 271.5069 0.7714821 -0.004750983 -0.6362334 -5.877151 0 0 0 1
12 0 -0.6358244 -0.02413242 -0.7714565 -8.195118 -0.01189866 0.9996988 -0.0214655 271.5066 0.7717422 -0.004468986 -0.63592 -6.130313 0 0 0 1
12 1 -0.6358244 -0.02413242 -0.7714565 -8.727842 -0.01189866 0.9996988 -0.0214655 271.5066 0.7717422 -0.004468986 -0.63592 -6.130313 0 0 0 1
13 0 -0.6354772 -0.02407841 -0.7717442 -8.262127 -0.01172028 0.9996993 -0.02153978 271.5026 0.7720308 -0.004642983 -0.6355683 -6.473403 0 0 0 1
13 1 -0.6354772 -0.02407841 -0.7717442 -8.794851 -0.01172028 0.9996993 -0.02153978 271.5026 0.7720308 -0.004642983 -0.6355683 -6.473403 0 0 0 1
14 0 -0.6350863 -0.02384443 -0.7720731 -8.280182 -0.01116741 0.9997024 -0.02168844 271.4978 0.7723606 -0.005151978 -0.6351635 -6.903807 0 0 0 1
14 1 -0.6350863 -0.02384443 -0.7720731 -8.812907 -0.01116741 0.9997024 -0.02168844 271.4978 0.7723606 -0.005151978 -0.6351635 -6.903807 0 0 0 1
15 0 -0.6346724 -0.02419832 -0.7724023 -8.463864 -0.0114053 0.999694 -0.02194748 271.4913 0.7726972 -0.005119979 -0.6347542 -7.213811 0 0 0 1
