frame cameraID r1,1 r1,2 r1,3 t1 r2,1 r2,2 r2,3 t2 r3,1 r3,2 r3,3 t3 0 0 0 1
0 0 -0.8146367 -0.02389242 -0.5794798 -6.792865 -0.01652062 0.9997016 -0.01799372 271.5562 0.5797368 -0.005084978 -0.8147883 -2.457608 0 0 0 1
0 1 -0.8146367 -0.02389242 -0.5794798 -7.32559 -0.01652062 0.9997016 -0.01799372 271.5562 0.5797368 -0.005084978 -0.8147883 -2.457608 0 0 0 1
1 0 -0.8146663 -0.02383346 -0.57944 -6.777188 -0.01662307 0.9997043 -0.01774844 271.5555 0.5796916 -0.004826982 -0.8148216 -2.764963 0 0 0 1
1 1 -0.8146663 -0.02383346 -0.57944 -7.309914 -0.01662307 0.9997043 -0.01774844 271.5554 0.5796916 -0.004826982 -0.8148216 -2.764964 0 0 0 1
2 0 -0.8145654 -0.0241724 -0.5795681 -6.86869 -0.01707613 0.9996976 -0.01769504 271.5524 0.5798206 -0.004516985 -0.8147318 -3.021337 0 0 0 1
2 1 -0.8145654 -0.0241724 -0.5795681 -7.401415 -0.01707613 0.9996976 -0.01769504 271.5524 0.5798206 -0.004516985 -0.8147318 -3.021337 0 0 0 1
3 0 -0.8146467 -0.02416337 -0.5794542 -6.865911 -0.0168793 0.9996963 -0.01795718 271.5498 0.579712 -0.004847981 -0.8148072 -3.449239 0 0 0 1
3 1 -0.8146467 -0.02416337 -0.5794542 -7.398636 -0.0168793 0.9996963 -0.01795718 271.5498 0.579712 -0.004847981 -0.8148072 -3.449239 0 0 0 1
4 0 -0.8146763 -0.02404539 -0.5794173 -6.834196 -0.01671443 0.9996985 -0.01798581 271.5484 0.5796752 -0.004967979 -0.8148326 -3.851136 0 0 0 1
4 1 -0.8146763 -0.02404539 -0.5794173 -7.366921 -0.01671443 0.9996985 -0.01798581 271.5484 0.5796752 -0.004967979 -0.8148326 -3.851136 0 0 0 1
5 0 -0.814844 -0.02381849 -0.579191 -6.772362 -0.01672817 0.9997056 -0.01757734 271.5497 0.5794391 -0.004633984 -0.8150026 -4.093613 0 0 0 1
5 1 -0.814844 -0.02381849 -0.579191 -7.305087 -0.01672817 0.9997056 -0.01757734 271.5497 0.5794391 -0.004633984 -0.8150026 -4.093613 0 0 0 1
6 0 -0.8149091 -0.02363452 -0.5791066 -6.723905 -0.01645666 0.9997089 -0.01764263 271.5484 0.579355 -0.004846982 -0.8150609 -4.481779 0 0 0 1
6 1 -0.8149091 -0.02363452 -0.5791066 -7.25663 -0.01645666 0.9997089 -0.01764263 271.5484 0.579355 -0.004846982 -0.8150609 -4.481779 0 0 0 1
7 0 -0.8147959 -0.02380943 -0.5792591 -6.772535 -0.01639354 0.999703 -0.01803161 271.5437 0.5795164 -0.005195976 -0.8149443 -4.935873 0 0 0 1
7 1 -0.8147959 -0.02380943 -0.5792591 -7.30526 -0.01639354 0.999703 -0.01803161 271.5437 0.5795164 -0.005195976 -0.8149443 -4.935873 0 0 0 1
8 0 -0.8145896 -0.02409338 -0.5795372 -6.851328 -0.01680075 0.9996978 -0.01794602 271.5417 0.5797944 -0.00488198 -0.8147483 -5.174451 0 0 0 1
8 1 -0.8145896 -0.02409338 -0.5795372 -7.384054 -0.01680075 0.9996978 -0.01794602 271.5417 0.5797944 -0.00488198 -0.8147483 -5.174451 0 0 0 1
9 0 -0.8143418 -0.02449226 -0.5798687 -6.960369 -0.01712285 0.9996881 -0.01817786 271.5373 0.5801331 -0.00487398 -0.8145072 -5.524618 0 0 0 1
9 1 -0.8143418 -0.02449226 -0.5798687 -7.493094 -0.01712285 0.9996881 -0.01817786 271.5373 0.5801331 -0.00487398 -0.8145072 -5.524618 0 0 0 1
10 0 -0.8142413 -0.02445027 -0.5800118 -6.94959 -0.01707561 0.9996891 -0.01817034 271.5359 0.5802757 -0.004890982 -0.8144056 -5.846153 0 0 0 1
10 1 -0.8142413 -0.02445027 -0.5800118 -7.482316 -0.01707561 0.9996891 -0.01817034 271.5359 0.5802757 -0.004890982 -0.8144056 -5.846153 0 0 0 1
11 0 -0.8140635 -0.02434332 -0.5802655 -6.922364 -0.01706419 0.9996924 -0.01799951 271.5359 0.5805252 -0.004750982 -0.8142285 -6.12205 0 0 0 1
11 1 -0.8140635 -0.02434332 -0.5802655 -7.45509 -0.01706419 0.9996924 -0.01799951 271.5359 0.5805252 -0.004750982 -0.8142285 -6.122051 0 0 0 1
12 0 -0.8138269 -0.02413242 -0.5806063 -6.867127 -0.0170489 0.9996988 -0.01765447 271.5375 0.5808575 -0.004468986 -0.8139932 -6.387397 0 0 0 1
12 1 -0.8138269 -0.02413242 -0.5806063 -7.399852 -0.0170489 0.9996988 -0.01765447 271.5375 0.5808575 -0.004468986 -0.8139932 -6.387397 0 0 0 1
13 0 -0.8135661 -0.02407842 -0.5809739 -6.854803 -0.01689583 0.9996993 -0.0177724 271.5353 0.5812271 -0.004642982 -0.8137282 -6.741565 0 0 0 1
13 1 -0.8135661 -0.02407842 -0.5809739 -7.387527 -0.01689583 0.9996993 -0.0177724 271.5353 0.5812271 -0.004642982 -0.8137282 -6.741566 0 0 0 1
14 0 -0.8132734 -0.02384443 -0.5813931 -6.79447 -0.01640027 0.9997024 -0.01805909 271.5318 0.5816507 -0.005151978 -0.8134224 -7.183165 0 0 0 1
14 1 -0.8132734 -0.02384443 -0.5813931 -7.327196 -0.01640027 0.9997024 -0.01805909 271.5318 0.5816507 -0.005151978 -0.8134224 -7.183165 0 0 0 1
15 0 -0.8129592 -0.02419833 -0.5818181 -6.892717 -0.01669711 0.999694 -0.01824773 271.5279 0.5820817 -0.005119978 -0.8131145 -7.504993 0 0 0 1
15 1 -0.8129592 -0.02419833 -0.5818181 -7.425443 -0.01669711 0.999694 -0.01824773 271.5278 0.5820817 -0.005119978 -0.8131145 -7.504992 0 0 0 1
16 0 -0.812819 -0.02474616 -0.5819906 -7.041477 -0.01720484 0.9996812 -0.01847771 271.5234 0.5822623 -0.00500598 -0.8129857 -7.771249 0 0 0 1
16 1 -0.812819 -0.02474616 -0.5819906 -7.574203 -0.01720484 0.9996812 -0.01847771 271.5234 0.5822623 -0.00500598 -0.8129857 -7.771249 0 0 0 1
17 0 -0.8126756 -0.0249761 -0.5821812 -7.10442 -0.01745143 0.999676 -0.01852631 271.5211 0.5824553 -0.00489598 -0.8128482 -8.035271 0 0 0 1
17 1 -0.8126756 -0.0249761 -0.5821812 -7.637146 -0.01745143 0.999676 -0.01852631 271.5212 0.5824553 -0.00489598 -0.8128482 -8.035272 0 0 0 1
18 0 -0.8124987 -0.02509305 -0.5824226 -7.137909 -0.01749021 0.9996727 -0.0186704 271.518 0.5827005 -0.00498298 -0.8126717 -8.379308 0 0 0 1
18 1 -0.8124987 -0.02509305 -0.5824226 -7.670633 -0.01749021 0.9996727 -0.0186704 271.518 0.5827005 -0.00498298 -0.8126717 -8.379308 0 0 0 1
19 0 -0.8124269 -0.02493109 -0.58253 -7.095358 -0.01725183 0.9996759 -0.01872376 271.5161 0.582808 -0.005161977 -0.8125937 -8.715947 0 0 0 1
19 1 -0.8124269 -0.02493109 -0.58253 -7.628083 -0.01725183 0.9996759 -0.01872376 271.5161 0.582808 -0.005161977 -0.8125937 -8.715947 0 0 0 1
20 0 -0.812358 -0.02492107 -0.5826266 -7.093353 -0.01716276 0.9996754 -0.0188297 271.5133 0.5829068 -0.005296975 -0.8125219 -9.066483 0 0 0 1
20 1 -0.812358 -0.02492107 -0.5826266 -7.626079 -0.01716276 0.9996754 -0.0188297 271.5133 0.5829068 -0.005296975 -0.8125219 -9.066483 0 0 0 1
21 0 -0.8122343 -0.02502404 -0.5827947 -7.122005 -0.01722498 0.9996727 -0.01891769 271.5108 0.5830773 -0.005326975 -0.8123995 -9.356398 0 0 0 1
21 1 -0.8122343 -0.02502404 -0.5827947 -7.65473 -0.01722498 0.9996727 -0.01891769 271.5108 0.5830773 -0.005326975 -0.8123995 -9.356398 0 0 0 1
22 0 -0.8122481 -0.02487207 -0.5827819 -7.080226 -0.01704529 0.9996759 -0.0189076 271.5095 0.5830633 -0.005423974 -0.8124088 -9.661655 0 0 0 1
22 1 -0.8122481 -0.02487207 -0.5827819 -7.612952 -0.01704529 0.9996759 -0.0189076 271.5095 0.5830633 -0.005423974 -0.8124088 -9.661656 0 0 0 1
23 0 -0.8122692 -0.02486605 -0.5827526 -7.077679 -0.01692094 0.9996749 -0.01907088 271.5058 0.5830374 -0.005629969 -0.812426 -10.02017 0 0 0 1
23 1 -0.8122692 -0.02486605 -0.5827526 -7.610403 -0.01692094 0.9996749 -0.01907088 271.5058 0.5830374 -0.005629969 -0.812426 -10.02017 0 0 0 1
24 0 -0.8122278 -0.02500805 -0.5828042 -7.11595 -0.01723685 0.9996733 -0.01887363 271.5069 0.5830858 -0.005283976 -0.8123935 -10.19875 0 0 0 1
