frame cameraID trackID left right top bottom number_pixels truncation_ratio occupancy_ratio isMoving
0 0 17 567 579 191 201 94 0 0.7833334 False
0 0 19 570 580 191 200 4 0 0.04444445 False
0 0 24 568 577 190 198 6 0 0.08333334 False
0 0 25 571 582 184 198 56 0 0.3636364 False
0 0 26 547 557 190 197 29 0 0.4142857 False
0 0 28 554 562 190 196 8 0 0.1666667 False
0 0 29 569 577 189 197 1 0 0.015625 False
0 0 36 568 577 188 196 3 0 0.04166667 False
0 0 40 582 589 191 195 21 0 0.75 False
0 0 41 567 573 190 195 4 0 0.1333333 False
0 0 42 581 587 190 195 10 0 0.3333333 False
0 0 47 562 567 189 194 13 0 0.52 False
0 0 49 549 554 189 193 3 0 0.15 False
0 0 50 560 565 189 193 5 0 0.25 False
0 0 51 560 566 189 193 4 0 0.1666667 False
0 0 59 555 560 189 193 2 0 0.1 False
0 0 60 554 558 189 192 1 0 0.08333334 False
0 0 74 543 547 188 192 3 0 0.1875 False
0 0 82 535 539 189 191 3 0 0.375 False
0 0 92 526 529 188 190 1 0 0.1666667 False
0 0 94 523 526 188 190 1 0 0.1666667 False
0 0 95 528 531 188 190 2 0 0.3333333 False
0 0 104 547 552 189 193 3 0 0.15 False
0 0 105 546 551 189 193 1 0 0.05 False
0 0 106 545 550 188 192 7 0 0.35 False
0 0 108 541 545 189 192 5 0 0.4166667 False
0 0 110 539 543 188 192 5 0 0.3125 False
0 0 112 532 535 189 191 2 0 0.3333333 False
0 0 118 512 515 188 190 3 0 0.5 False
0 0 120 515 518 188 190 2 0 0.3333333 False
0 0 128 0 81 156 217 2006 0.4997451 0.4059907 False
0 0 130 550 558 189 197 10 0 0.15625 False
0 0 132 510 513 188 190 1 0 0.1666667 False
0 0 0 695 809 208 310 8554 0 0.7356381 True
0 0 1 0 204 193 319 16834 0.202925 0.6549175 True
0 0 2 295 395 186 243 3227 0 0.5661404 True
0 0 3 354 493 195 281 7438 0 0.6222185 True
0 0 4 472 537 190 240 2246 0 0.6910769 True
0 0 5 675 743 198 249 1209 0 0.3486159 True
0 0 7 503 551 192 227 499 0 0.2970238 True
0 0 8 432 479 191 220 413 0 0.3030081 False
0 0 13 544 570 193 211 338 0 0.7222222 True
0 0 16 598 631 191 221 803 0 0.8111111 True
0 0 126 659 690 195 223 465 0 0.5357143 True
0 0 127 639 665 193 216 368 0 0.6153846 True
0 1 17 563 576 191 201 104 0 0.8 False
0 1 19 567 577 191 200 9 0 0.1 False
0 1 24 565 574 190 198 6 0 0.08333334 False
0 1 25 568 579 184 198 56 0 0.3636364 False
0 1 26 544 554 190 197 23 0 0.3285714 False
0 1 28 551 559 190 196 8 0 0.1666667 False
0 1 29 567 575 189 197 1 0 0.015625 False
0 1 36 566 575 188 196 3 0 0.04166667 False
0 1 40 580 587 191 195 22 0 0.7857143 False
0 1 42 579 585 190 195 11 0 0.3666667 False
0 1 47 560 566 189 194 11 0 0.3666667 False
0 1 49 547 552 189 193 1 0 0.05 False
0 1 50 558 563 189 193 7 0 0.35 False
0 1 51 559 564 189 193 4 0 0.2 False
0 1 59 554 558 189 193 3 0 0.1875 False
0 1 60 553 557 189 192 1 0 0.08333334 False
0 1 62 551 555 189 192 1 0 0.08333334 False
0 1 74 542 546 188 192 3 0 0.1875 False
0 1 82 534 538 189 191 2 0 0.25 False
0 1 85 532 536 188 191 1 0 0.08333334 False
0 1 92 525 528 188 190 1 0 0.1666667 False
0 1 95 527 530 188 190 2 0 0.3333333 False
0 1 96 520 523 188 190 1 0 0.1666667 False
0 1 98 519 521 188 190 1 0 0.25 False
0 1 104 546 551 189 193 1 0 0.05 False
0 1 105 545 549 189 193 1 0 0.0625 False
0 1 106 544 548 188 192 5 0 0.3125 False
0 1 108 540 544 189 192 8 0 0.6666667 False
0 1 110 538 542 188 192 4 0 0.25 False
0 1 112 531 534 189 191 2 0 0.3333333 False
0 1 118 511 514 188 190 2 0 0.3333333 False
0 1 120 514 517 188 190 1 0 0.1666667 False
0 1 128 0 70 156 217 1860 0.6045426 0.4355972 False
0 1 130 547 556 189 197 12 0 0.1666667 False
0 1 132 509 512 188 190 1 0 0.1666667 False
0 1 0 659 772 208 310 8491 0 0.7366823 True
0 1 1 0 173 193 312 13210 0.3590331 0.6416671 True
0 1 2 276 379 186 243 2864 0 0.4878215 True
0 1 3 324 469 195 281 7751 0 0.6215718 True
0 1 4 455 523 190 240 2437 0 0.7167647 True
0 1 5 659 725 198 249 663 0 0.1969697 True
0 1 7 491 540 192 227 616 0 0.3591837 True
0 1 8 421 470 191 220 580 0 0.4081633 False
0 1 13 537 564 193 211 376 0 0.7736626 True
0 1 16 588 621 191 221 810 0 0.8181818 True
0 1 126 650 680 195 223 358 0 0.4261905 True
0 1 127 632 657 193 216 348 0 0.6052174 True
1 0 17 567 579 190 201 94 0 0.7121212 False
1 0 19 570 580 190 199 8 0 0.08888889 False
1 0 24 567 576 190 198 3 0 0.04166667 False
1 0 25 571 582 184 198 57 0 0.3701299 False
1 0 26 546 557 189 197 23 0 0.2613636 False
1 0 28 554 562 189 196 6 0 0.1071429 False
1 0 29 569 577 189 196 1 0 0.01785714 False
1 0 36 568 577 187 196 3 0 0.03703704 False
1 0 40 582 588 190 195 24 0 0.8 False
1 0 41 567 573 190 194 3 0 0.125 False
1 0 42 581 587 190 195 6 0 0.2 False
1 0 47 562 567 189 193 14 0 0.7 False
1 0 49 548 554 189 193 2 0 0.08333334 False
1 0 50 559 565 189 193 3 0 0.125 False
1 0 51 560 566 189 193 4 0 0.1666667 False
1 0 57 555 559 189 192 1 0 0.08333334 False
1 0 59 555 559 189 192 1 0 0.08333334 False
1 0 63 551 555 188 192 3 0 0.1875 False
1 0 74 543 547 188 191 2 0 0.1666667 False
1 0 82 535 539 188 191 5 0 0.4166667 False
1 0 85 533 536 188 191 2 0 0.2222222 False
1 0 92 526 529 188 190 1 0 0.1666667 False
1 0 95 528 531 188 190 4 0 0.6666667 False
1 0 104 547 552 189 193 3 0 0.15 False
1 0 105 546 551 189 192 2 0 0.1333333 False
1 0 106 545 550 188 192 8 0 0.4 False
1 0 108 541 545 189 192 6 0 0.5 False
1 0 110 539 543 188 191 4 0 0.3333333 False
1 0 112 531 535 188 191 4 0 0.3333333 False
1 0 118 512 515 187 190 2 0 0.2222222 False
1 0 120 515 518 188 190 1 0 0.1666667 False
1 0 128 0 75 156 217 1921 0.5635272 0.4198907 False
1 0 130 549 558 189 197 11 0 0.1527778 False
1 0 0 698 813 208 310 8625 0 0.7352941 True
1 0 1 0 198 193 322 16400 0.2478943 0.6420797 True
1 0 2 290 392 186 244 3306 0 0.5588235 True
1 0 3 350 491 195 282 7690 0 0.6268851 True
1 0 4 471 537 190 240 2282 0 0.6915151 True
1 0 5 675 742 198 249 1297 0 0.3795727 True
1 0 7 502 551 192 227 503 0 0.2932945 True
1 0 8 430 478 191 220 446 0 0.3204023 True
1 0 13 544 570 192 211 349 0 0.7064778 True
1 0 16 598 631 191 221 781 0 0.7888889 True
1 0 126 659 690 195 222 461 0 0.5507766 True
1 0 127 639 665 193 216 356 0 0.5953177 True
1 1 17 563 576 190 201 103 0 0.7202797 False
1 1 19 566 577 190 199 14 0 0.1414141 False
1 1 24 564 574 190 198 2 0 0.025 False
1 1 25 568 579 184 198 57 0 0.3701299 False
1 1 26 544 554 189 197 14 0 0.175 False
1 1 28 551 559 189 196 10 0 0.1785714 False
1 1 36 566 575 187 196 3 0 0.03703704 False
1 1 40 580 587 190 195 27 0 0.7714286 False
1 1 42 579 585 190 195 5 0 0.1666667 False
1 1 47 560 565 189 193 14 0 0.7 False
1 1 50 558 563 189 193 4 0 0.2 False
1 1 51 559 564 189 193 5 0 0.25 False
1 1 57 554 558 189 192 3 0 0.25 False
1 1 59 554 558 189 192 1 0 0.08333334 False
1 1 63 550 554 188 192 2 0 0.125 False
1 1 74 542 546 188 191 1 0 0.08333334 False
1 1 82 534 538 188 191 5 0 0.4166667 False
1 1 85 532 536 188 191 2 0 0.1666667 False
1 1 92 525 528 188 190 2 0 0.3333333 False
1 1 94 522 525 188 190 1 0 0.1666667 False
1 1 95 527 530 188 190 3 0 0.5 False
1 1 98 518 521 188 190 1 0 0.1666667 False
1 1 104 546 551 189 193 1 0 0.05 False
1 1 105 545 549 189 192 2 0 0.1666667 False
1 1 106 544 548 188 192 8 0 0.5 False
1 1 108 540 544 189 192 6 0 0.5 False
1 1 110 538 542 188 191 3 0 0.25 False
1 1 112 531 534 188 191 3 0 0.3333333 False
1 1 118 511 514 187 190 3 0 0.3333333 False
1 1 120 514 517 188 190 3 0 0.5 False
1 1 128 0 63 156 217 1765 0.6675537 0.4592766 False
1 1 130 547 556 189 197 13 0 0.1805556 False
1 1 0 662 776 208 310 8555 0 0.7357241 True
1 1 1 0 166 193 312 12500 0.4123749 0.6327832 True
1 1 2 271 375 186 244 2932 0 0.4860743 True
1 1 3 319 467 195 282 8021 0 0.6229419 True
1 1 4 454 522 190 240 2479 0 0.7291176 True
1 1 5 659 725 198 249 755 0 0.2243018 True
1 1 7 490 540 192 227 605 0 0.3457143 True
1 1 8 419 468 191 220 620 0 0.4363125 True
1 1 13 537 563 192 211 389 0 0.7874494 True
1 1 16 588 621 191 221 786 0 0.7939394 True
1 1 126 650 680 195 222 363 0 0.4481482 True
1 1 127 632 657 193 216 334 0 0.5808696 True
2 0 17 566 579 190 200 100 0 0.7692308 False
2 0 19 570 580 190 199 4 0 0.04444445 False
2 0 22 569 580 190 198 1 0 0.01136364 False
2 0 24 567 576 190 198 1 0 0.01388889 False
2 0 25 571 582 184 197 59 0 0.4125874 False
2 0 26 546 557 189 197 21 0 0.2386364 False
2 0 28 553 562 189 196 7 0 0.1111111 False
2 0 29 569 577 189 196 1 0 0.01785714 False
2 0 36 568 577 187 196 4 0 0.04938272 False
2 0 40 582 589 190 195 27 0 0.7714286 False
2 0 41 567 573 189 194 1 0 0.03333334 False
2 0 42 581 587 190 194 5 0 0.2083333 False
